#_id;pic;archive_type;creator_type;curation_location;local_id;date;year;links;summary;transcription;transcription_author_firstname;transcription_author_lastname
archive_0000;document_0021.jpg;rental;lawyer;Abbaye de Pontigny;TTH-bb11:bis 8938;01/05/1640;1640;;Qui tempora velit nam laboriosam consectetur ea similique necessitatibus At quia velit non distinctio maiores est dolorem quaerat.;Lorem ipsum dolor sit amet. Eos earum quas non rerum quia aut exercitationem minus__CR__et quod porro et magni modi sit quia perspiciatis.__CR__Et Quis cumque vel harum omnis ex autem ipsam qui tenetur saepe id reiciendis dolores et dolorem unde.__CR__Sit praesentium alias et ipsum blanditiis sed alias nemo vel odio. ;Joe;Pagnol
archive_0001;document_0024.jpg;rental;lawyer;Abbaye de Fontenay;OIII:YY 1690;03/01/1623;1623;;Ut alias dicta aut ullam laudantium vel doloremque recusandae quo soluta provident ea tempore dolor et tempore voluptas;Est quisquam illum est vitae dolor qui quia tenetur est impedit provident et molestiae deleniti et libero voluptatibus vel dolorum mollitia.__CR__Eum soluta autem vel voluptas odit eum sint quaerat! Et nisi earum et deleniti delectus ab voluptates nihil et alias officiis. ;Jenny;Martin
archive_0002;document_0004.jpg;wedding;city;Abbaye de Pontigny;ZTG 42//ter 1442;24/11/1543;1543;archive_0186,archive_0085;Ut alias dicta aut ullam laudantium vel doloremque recusandae quo soluta provident ea tempore dolor et tempore voluptas;Aut eveniet libero ut cupiditate quisquam ut quod fugiat. Sed iusto voluptas sit consectetur debitis vel ipsum fuga.__CR__Qui sint tempore qui atque porro eum assumenda ipsa sit quos nobis est animi eligendi ut similique quas.__CR__Aut officia laboriosam id sint nisi aut rerum autem ut pariatur tenetur.__CR__A omnis commodi ut saepe quia et accusamus explicabo?__CR____CR__Et facilis illum vel eaque maiores ea molestiae debitis et iusto nobis. Non saepe placeat ab illo nihil hic consequatur dicta 33 voluptas obcaecati?__CR__Sit galisum quia sit esse aperiam in assumenda sint qui dolores consequatur ab itaque fugiat nam sunt autem. Eum magni nihil et ipsum eveniet in quas exercitationem?;Lucie;Martin
archive_0003;document_0020.jpg;account;church;Abbaye de Notre-Dame-de-Quincy;OIII:bb11:ter 1800;15/10/1526;1526;;Aut nostrum adipisci id odio doloremque qui reprehenderit nostrum rem praesentium facilis non dolore eligendi.;Est quisquam illum est vitae dolor qui quia tenetur est impedit provident et molestiae deleniti et libero voluptatibus vel dolorum mollitia.__CR__Eum soluta autem vel voluptas odit eum sint quaerat! Et nisi earum et deleniti delectus ab voluptates nihil et alias officiis. ;Michel;Biden
archive_0004;document_0022.jpg;wedding;church;Abbaye de Pontigny;ZTG 42//2095;07/11/1456;1456;;Et sequi ea asperiores porro ut exercitationem animi sed exercitationem quis qui officiis doloribus et perferendis quas! ;Est quisquam illum est vitae dolor qui quia tenetur est impedit provident et molestiae deleniti et libero voluptatibus vel dolorum mollitia.__CR__Eum soluta autem vel voluptas odit eum sint quaerat! Et nisi earum et deleniti delectus ab voluptates nihil et alias officiis. ;Michel;Di Caprio
archive_0005;document_0013.jpg;wedding;church;Abbaye de Pontigny;OIII:bb11:5214;25/02/1527;1527;;Aut nostrum adipisci id odio doloremque qui reprehenderit nostrum rem praesentium facilis non dolore eligendi.;Et voluptatem voluptatem nam recusandae repellat est Quis iure a sint perferendis est illum nihil qui culpa sunt vel sapiente beatae.__CR__Ad aspernatur libero qui dolorem possimus et repudiandae sunt qui explicabo rerum.__CR__Et saepe necessitatibus est corporis veniam est reiciendis architecto eos necessitatibus alias?__CR____CR__Et debitis esse aut molestias dignissimos aut quae dolorem qui nihil nihil et sint aperiam hic nemo nemo et velit deserunt! Qui velit voluptatem ut quaerat esse ut facilis harum vel cumque dolorem.__CR__Eos libero quae voluptatem dignissimos eos alias rerum aut quod beatae aut ratione commodi eos necessitatibus quae ut modi omnis.__CR__Ea impedit voluptas qui aliquid quia et optio doloribus est autem debitis 33 cupiditate provident cum ipsa repellat quo harum consectetur.__CR__Est sapiente voluptatem ut fugit omnis est perspiciatis sint aut officiis laudantium.__CR____CR__Qui consequatur tempora in voluptatem mollitia vel numquam quia id quia praesentium aut architecto quisquam. ;Leonardo;Biden
archive_0006;document_0017.jpg;rental;church;Abbaye de Pontigny;IV 56-ter 7622;07/05/1631;1631;archive_0085,archive_0084,archive_0077;Ut alias dicta aut ullam laudantium vel doloremque recusandae quo soluta provident ea tempore dolor et tempore voluptas;Lorem ipsum dolor sit amet. Eos earum quas non rerum quia aut exercitationem minus__CR__et quod porro et magni modi sit quia perspiciatis.__CR__Et Quis cumque vel harum omnis ex autem ipsam qui tenetur saepe id reiciendis dolores et dolorem unde.__CR__Sit praesentium alias et ipsum blanditiis sed alias nemo vel odio. ;Jenny;Biden
archive_0007;document_0013.jpg;rental;lawyer;Abbaye de Pontigny;BAAPR//34 YY 360;03/07/1542;1542;;Sed fugiat corporis ad fugit voluptate non cumque tenetur eos necessitatibus eius.;Et corrupti quia et eveniet molestiae ut quia rerum rem repellat iste.__CR__Sed incidunt recusandae et ullam ullam ut architecto quae eum Quis harum et voluptate galisum ut vero nihil mollitia architecto!__CR__Ut assumenda illo ea optio nihil est enim laboriosam ex voluptatibus expedita qui numquam voluptatum non blanditiis omnis quo facilis dolor. ;John;Pagnol
archive_0008;document_0015.jpg;rental;church;AD Franche-Comté;TTH-42//4388;28/12/1514;1514;archive_0153,archive_0084,archive_0077;Ex illum minus nam officiis fugit aut reiciendis earum et quidem dicta.;Ab pariatur laudantium consequatur laboriosam in adipisci expedita est Quis magnam At exercitationem repellendus aut odio facere aut possimus aliquam?__CR__Et amet voluptatem et accusantium consectetur est fuga voluptatem id obcaecati sunt aut minus Quis sed delectus natus.;Marcel;Dupont
archive_0009;document_0001.jpg;rental;lawyer;AD Franche-Comté;BAAPR//34 bb11:bis 4605;29/01/1653;1653;archive_0109,archive_0084,archive_0077,archive_0062;Quo quaerat omnis quo doloremque sed necessitatibus corporis. Est deserunt illum sed enim cupiditate est sapiente voluptas;Eum fugiat eius At Quis aspernatur rem tenetur voluptatem nam maxime adipisci vel ratione magni sed quaerat eveniet aut magni officiis?__CR__Non quis nemo eum mollitia blanditiis aut maxime exercitationem et quaerat tempore et pariatur rerum ut harum vitae.__CR__Id voluptatum iste aut ullam labore qui quam repellendus sed enim praesentium vel dolor voluptatem aut ratione sapiente.__CR__Ut mollitia eveniet id saepe perspiciatis et voluptatem repellat ut alias eaque qui nihil dolor.__CR__Et voluptatem ipsum qui obcaecati tenetur et facilis minima et magnam quasi eos explicabo quasi At rerum amet. Est quia voluptas nam dolorem magni et suscipit quia aut voluptates molestiae. Ex galisum natus est rerum quasi ut magni autem qui consequatur assumenda ea molestiae accusamus ut expedita repellat.__CR__Rem mollitia quia ut dolores deserunt aut reprehenderit quia non dolores suscipit ut perspiciatis sint! ;Michel;Pagnol
archive_0010;document_0016.jpg;rental;lawyer;Abbaye de Notre-Dame-de-Quincy;XVI56-5939;24/05/1506;1506;archive_0077,archive_0001;Sed fugiat corporis ad fugit voluptate non cumque tenetur eos necessitatibus eius.;Et corrupti quia et eveniet molestiae ut quia rerum rem repellat iste.__CR__Sed incidunt recusandae et ullam ullam ut architecto quae eum Quis harum et voluptate galisum ut vero nihil mollitia architecto!__CR__Ut assumenda illo ea optio nihil est enim laboriosam ex voluptatibus expedita qui numquam voluptatum non blanditiis omnis quo facilis dolor. ;Martin;Pagnol
archive_0011;document_0010.jpg;wedding;lawyer;AD Franche-Comté;TTH-42//2398;17/03/1525;1525;archive_0001;Et sequi ea asperiores porro ut exercitationem animi sed exercitationem quis qui officiis doloribus et perferendis quas! ;Aut eveniet libero ut cupiditate quisquam ut quod fugiat. Sed iusto voluptas sit consectetur debitis vel ipsum fuga.__CR__Qui sint tempore qui atque porro eum assumenda ipsa sit quos nobis est animi eligendi ut similique quas.__CR__Aut officia laboriosam id sint nisi aut rerum autem ut pariatur tenetur.__CR__A omnis commodi ut saepe quia et accusamus explicabo?__CR____CR__Et facilis illum vel eaque maiores ea molestiae debitis et iusto nobis. Non saepe placeat ab illo nihil hic consequatur dicta 33 voluptas obcaecati?__CR__Sit galisum quia sit esse aperiam in assumenda sint qui dolores consequatur ab itaque fugiat nam sunt autem. Eum magni nihil et ipsum eveniet in quas exercitationem?;;Dupont
archive_0012;document_0003.jpg;rental;lawyer;Abbaye de Fontenay;ZTG YY ter 3117;1492;1492;;Qui tempora velit nam laboriosam consectetur ea similique necessitatibus At quia velit non distinctio maiores est dolorem quaerat.;Id modi architecto At dolore nemo qui sint possimus sit internos molestiae.__CR__Qui doloremque voluptatem et necessitatibus cupiditate ut doloremque labore rem corrupti incidunt et ducimus vero et velit modi quo officia quas.__CR____CR__Ad debitis quam est quidem earum vel iure animi cum aliquid molestias rem ullam impedit aut explicabo dolorum et natus excepturi.__CR____CR__Qui tempore reprehenderit vel soluta illo et labore magnam vel atque doloribus in eveniet delectus;Michel;Pagnol
archive_0013;document_0014.jpg;wedding;church;Abbaye de Pontigny;AAAPR12 bb11:6499;16/08/1649;1649;;Ut distinctio aperiam eos nemo vitae id tempore corporis. Ut porro tempore ut vitae quaerat eos atque dolores ea sint praesentium. ;Non voluptatum quis est molestiae quisquam ab illo accusantium.__CR__Id neque aliquam nam molestiae suscipit ex nobis molestiae est impedit minima aut excepturi omnis qui veniam molestias eum esse deleniti.__CR__In repellat internos eum perspiciatis error est veritatis ullam est cupiditate suscipit non dolores maxime ea quaerat saepe.__CR__Quo voluptas accusamus est minus vitae ab culpa unde non incidunt itaque et voluptatem error.__CR__Est voluptatum accusantium et labore culpa ut officiis autem vel earum porro! ;Myriam;Pagnol
archive_0014;document_0009.jpg;rental;lawyer;AD Franche-Comté;BAAPR//34 42//8352;18/10/1621;1621;;Quo quaerat omnis quo doloremque sed necessitatibus corporis. Est deserunt illum sed enim cupiditate est sapiente voluptas;Et corrupti quia et eveniet molestiae ut quia rerum rem repellat iste.__CR__Sed incidunt recusandae et ullam ullam ut architecto quae eum Quis harum et voluptate galisum ut vero nihil mollitia architecto!__CR__Ut assumenda illo ea optio nihil est enim laboriosam ex voluptatibus expedita qui numquam voluptatum non blanditiis omnis quo facilis dolor. ;John;Martin
archive_0015;document_0015.jpg;rental;church;Abbaye de Pontigny;BAAPR//34 42//bis 5549;13/03/1585;1585;;Quo maiores illo quo distinctio possimus ut veniam corporis sed maxime dicta eos quia dolor.;Aut eveniet libero ut cupiditate quisquam ut quod fugiat. Sed iusto voluptas sit consectetur debitis vel ipsum fuga.__CR__Qui sint tempore qui atque porro eum assumenda ipsa sit quos nobis est animi eligendi ut similique quas.__CR__Aut officia laboriosam id sint nisi aut rerum autem ut pariatur tenetur.__CR__A omnis commodi ut saepe quia et accusamus explicabo?__CR____CR__Et facilis illum vel eaque maiores ea molestiae debitis et iusto nobis. Non saepe placeat ab illo nihil hic consequatur dicta 33 voluptas obcaecati?__CR__Sit galisum quia sit esse aperiam in assumenda sint qui dolores consequatur ab itaque fugiat nam sunt autem. Eum magni nihil et ipsum eveniet in quas exercitationem?;John;Hochon
archive_0016;document_0020.jpg;account;church;Abbaye de Saint-Philibert;jjd / K3 bb11:441;1545;1545;archive_0160,archive_0108;Quo maiores illo quo distinctio possimus ut veniam corporis sed maxime dicta eos quia dolor.;Aut eveniet libero ut cupiditate quisquam ut quod fugiat. Sed iusto voluptas sit consectetur debitis vel ipsum fuga.__CR__Qui sint tempore qui atque porro eum assumenda ipsa sit quos nobis est animi eligendi ut similique quas.__CR__Aut officia laboriosam id sint nisi aut rerum autem ut pariatur tenetur.__CR__A omnis commodi ut saepe quia et accusamus explicabo?__CR____CR__Et facilis illum vel eaque maiores ea molestiae debitis et iusto nobis. Non saepe placeat ab illo nihil hic consequatur dicta 33 voluptas obcaecati?__CR__Sit galisum quia sit esse aperiam in assumenda sint qui dolores consequatur ab itaque fugiat nam sunt autem. Eum magni nihil et ipsum eveniet in quas exercitationem?;;Hochon
archive_0017;document_0010.jpg;account;church;Abbaye de Pontigny;XIEd-YY // 5347;1587;1587;archive_0085,archive_0099,archive_0199,archive_0029;Ut distinctio aperiam eos nemo vitae id tempore corporis. Ut porro tempore ut vitae quaerat eos atque dolores ea sint praesentium. ;Non voluptatum quis est molestiae quisquam ab illo accusantium.__CR__Id neque aliquam nam molestiae suscipit ex nobis molestiae est impedit minima aut excepturi omnis qui veniam molestias eum esse deleniti.__CR__In repellat internos eum perspiciatis error est veritatis ullam est cupiditate suscipit non dolores maxime ea quaerat saepe.__CR__Quo voluptas accusamus est minus vitae ab culpa unde non incidunt itaque et voluptatem error.__CR__Est voluptatum accusantium et labore culpa ut officiis autem vel earum porro! ;Lucie;Trump
archive_0018;document_0024.jpg;account;lawyer;Abbaye de Fontenay;OIII:bb11:// 7624;01/10/1482;1482;archive_0048,archive_0197,archive_0042;Ut distinctio aperiam eos nemo vitae id tempore corporis. Ut porro tempore ut vitae quaerat eos atque dolores ea sint praesentium. ;Est quisquam illum est vitae dolor qui quia tenetur est impedit provident et molestiae deleniti et libero voluptatibus vel dolorum mollitia.__CR__Eum soluta autem vel voluptas odit eum sint quaerat! Et nisi earum et deleniti delectus ab voluptates nihil et alias officiis. ;Lucie;Doe
archive_0019;document_0010.jpg;rental;church;AD Franche-Comté;OIII:56-ter 2645;05/09/1626;1626;archive_0084;Ut distinctio aperiam eos nemo vitae id tempore corporis. Ut porro tempore ut vitae quaerat eos atque dolores ea sint praesentium. ;Non voluptatum quis est molestiae quisquam ab illo accusantium.__CR__Id neque aliquam nam molestiae suscipit ex nobis molestiae est impedit minima aut excepturi omnis qui veniam molestias eum esse deleniti.__CR__In repellat internos eum perspiciatis error est veritatis ullam est cupiditate suscipit non dolores maxime ea quaerat saepe.__CR__Quo voluptas accusamus est minus vitae ab culpa unde non incidunt itaque et voluptatem error.__CR__Est voluptatum accusantium et labore culpa ut officiis autem vel earum porro! ;John;Pagnol
archive_0020;document_0028.jpg;rental;church;Abbaye de Fontenay;XIEd-bb11:bis 9935;28/11/1578;1578;;Ut distinctio aperiam eos nemo vitae id tempore corporis. Ut porro tempore ut vitae quaerat eos atque dolores ea sint praesentium. ;Non voluptatum quis est molestiae quisquam ab illo accusantium.__CR__Id neque aliquam nam molestiae suscipit ex nobis molestiae est impedit minima aut excepturi omnis qui veniam molestias eum esse deleniti.__CR__In repellat internos eum perspiciatis error est veritatis ullam est cupiditate suscipit non dolores maxime ea quaerat saepe.__CR__Quo voluptas accusamus est minus vitae ab culpa unde non incidunt itaque et voluptatem error.__CR__Est voluptatum accusantium et labore culpa ut officiis autem vel earum porro! ;John;Proust
archive_0021;document_0012.jpg;wedding;church;Abbaye de Fontenay;ZTG YY 7510;01/11/1556;1556;;Quo quaerat omnis quo doloremque sed necessitatibus corporis. Est deserunt illum sed enim cupiditate est sapiente voluptas;Et voluptatem voluptatem nam recusandae repellat est Quis iure a sint perferendis est illum nihil qui culpa sunt vel sapiente beatae.__CR__Ad aspernatur libero qui dolorem possimus et repudiandae sunt qui explicabo rerum.__CR__Et saepe necessitatibus est corporis veniam est reiciendis architecto eos necessitatibus alias?__CR____CR__Et debitis esse aut molestias dignissimos aut quae dolorem qui nihil nihil et sint aperiam hic nemo nemo et velit deserunt! Qui velit voluptatem ut quaerat esse ut facilis harum vel cumque dolorem.__CR__Eos libero quae voluptatem dignissimos eos alias rerum aut quod beatae aut ratione commodi eos necessitatibus quae ut modi omnis.__CR__Ea impedit voluptas qui aliquid quia et optio doloribus est autem debitis 33 cupiditate provident cum ipsa repellat quo harum consectetur.__CR__Est sapiente voluptatem ut fugit omnis est perspiciatis sint aut officiis laudantium.__CR____CR__Qui consequatur tempora in voluptatem mollitia vel numquam quia id quia praesentium aut architecto quisquam. ;Leonardo;Proust
archive_0022;document_0019.jpg;rental;church;Abbaye de Pontigny;XIEd-56-2058;28/05/1539;1539;;Ut alias dicta aut ullam laudantium vel doloremque recusandae quo soluta provident ea tempore dolor et tempore voluptas;Et voluptatem voluptatem nam recusandae repellat est Quis iure a sint perferendis est illum nihil qui culpa sunt vel sapiente beatae.__CR__Ad aspernatur libero qui dolorem possimus et repudiandae sunt qui explicabo rerum.__CR__Et saepe necessitatibus est corporis veniam est reiciendis architecto eos necessitatibus alias?__CR____CR__Et debitis esse aut molestias dignissimos aut quae dolorem qui nihil nihil et sint aperiam hic nemo nemo et velit deserunt! Qui velit voluptatem ut quaerat esse ut facilis harum vel cumque dolorem.__CR__Eos libero quae voluptatem dignissimos eos alias rerum aut quod beatae aut ratione commodi eos necessitatibus quae ut modi omnis.__CR__Ea impedit voluptas qui aliquid quia et optio doloribus est autem debitis 33 cupiditate provident cum ipsa repellat quo harum consectetur.__CR__Est sapiente voluptatem ut fugit omnis est perspiciatis sint aut officiis laudantium.__CR____CR__Qui consequatur tempora in voluptatem mollitia vel numquam quia id quia praesentium aut architecto quisquam. ;Leonardo;Hochon
archive_0023;document_0002.jpg;rental;church;Abbaye de Saint-Philibert;IV YY ter 6990;08/09/1618;1618;;Ut distinctio aperiam eos nemo vitae id tempore corporis. Ut porro tempore ut vitae quaerat eos atque dolores ea sint praesentium. ;Quo nobis architecto est accusantium eius vel nihil culpa et impedit autem aut quos tempora ut voluptas cupiditate.__CR__Est asperiores ducimus nam quam aliquid cum veritatis voluptates ut perferendis amet sit nesciunt autem.__CR__Est fugiat reiciendis qui tempore asperiores et obcaecati internos voluptatem expedita eos voluptatem assumenda.__CR__Qui dolor velit et aliquam sint et sapiente cupiditate aut illum quasi.__CR__In sint maiores qui obcaecati dolores quo perspiciatis unde ut eaque illum ea voluptatem beatae qui labore iste in recusandae quis.__CR__Sit rerum dignissimos ea dolore repellat ea nobis error. Vel aspernatur voluptatem est illum doloremque qui obcaecati placeat vel quod labore sed enim voluptates sed accusamus eaque aut nihil quaerat.__CR__Aut natus explicabo sit velit numquam qui dolorum quibusdam qui atque odio aut consequatur dolor! Quo sequi dolorum et blanditiis voluptatibus et quis galisum.__CR____CR__Ut accusamus pariatur in fuga dignissimos aut vero fugit non architecto modi est velit minus eos voluptatum dolores et molestiae consequatur?__CR__Ut fugit delectus et quasi quasi est sunt excepturi et consequatur velit rem quis tempora in quod rerum ut numquam doloremque.__CR__Qui delectus ipsam ut totam quod sed autem obcaecati 33 exercitationem error?__CR____CR__Quo dolorem asperiores hic dolorem repudiandae eos quia enim ea vitae omnis eos quisquam molestias.__CR__Qui eveniet deserunt et repellat aliquam ut deserunt tempora sed iste eius. ;Donald;Pagnol
archive_0024;document_0014.jpg;account;lawyer;Abbaye de Pontigny;IV 42//bis 6771;15/06/1584;1584;archive_0153,archive_0050,archive_0044;Quo quaerat omnis quo doloremque sed necessitatibus corporis. Est deserunt illum sed enim cupiditate est sapiente voluptas;Ab pariatur laudantium consequatur laboriosam in adipisci expedita est Quis magnam At exercitationem repellendus aut odio facere aut possimus aliquam?__CR__Et amet voluptatem et accusantium consectetur est fuga voluptatem id obcaecati sunt aut minus Quis sed delectus natus.;Paul;Doe
archive_0025;document_0004.jpg;rental;city;Abbaye de Saint-Philibert;XIII 42//9706;24/03/1646;1646;;Sed fugiat corporis ad fugit voluptate non cumque tenetur eos necessitatibus eius.;Eum fugiat eius At Quis aspernatur rem tenetur voluptatem nam maxime adipisci vel ratione magni sed quaerat eveniet aut magni officiis?__CR__Non quis nemo eum mollitia blanditiis aut maxime exercitationem et quaerat tempore et pariatur rerum ut harum vitae.__CR__Id voluptatum iste aut ullam labore qui quam repellendus sed enim praesentium vel dolor voluptatem aut ratione sapiente.__CR__Ut mollitia eveniet id saepe perspiciatis et voluptatem repellat ut alias eaque qui nihil dolor.__CR__Et voluptatem ipsum qui obcaecati tenetur et facilis minima et magnam quasi eos explicabo quasi At rerum amet. Est quia voluptas nam dolorem magni et suscipit quia aut voluptates molestiae. Ex galisum natus est rerum quasi ut magni autem qui consequatur assumenda ea molestiae accusamus ut expedita repellat.__CR__Rem mollitia quia ut dolores deserunt aut reprehenderit quia non dolores suscipit ut perspiciatis sint! ;Lucie;Pagnol
archive_0026;document_0002.jpg;rental;church;Abbaye de Pontigny;jjd / K3 Z 7968;1485;1485;archive_0121,archive_0108,archive_0058;Ut alias dicta aut ullam laudantium vel doloremque recusandae quo soluta provident ea tempore dolor et tempore voluptas;Est quisquam illum est vitae dolor qui quia tenetur est impedit provident et molestiae deleniti et libero voluptatibus vel dolorum mollitia.__CR__Eum soluta autem vel voluptas odit eum sint quaerat! Et nisi earum et deleniti delectus ab voluptates nihil et alias officiis. ;John;Martin
archive_0027;document_0009.jpg;account;church;Abbaye de Fontenay;OIII:56-5397;1542;1542;;Qui tempora velit nam laboriosam consectetur ea similique necessitatibus At quia velit non distinctio maiores est dolorem quaerat.;Ab pariatur laudantium consequatur laboriosam in adipisci expedita est Quis magnam At exercitationem repellendus aut odio facere aut possimus aliquam?__CR__Et amet voluptatem et accusantium consectetur est fuga voluptatem id obcaecati sunt aut minus Quis sed delectus natus.;Leonardo;Doe
archive_0028;document_0022.jpg;account;church;Abbaye de Notre-Dame-de-Quincy;AAAPR12 56-5227;18/06/1526;1526;archive_0186;Ex illum minus nam officiis fugit aut reiciendis earum et quidem dicta.;In blanditiis quia aut internos maiores a galisum asperiores sed dolor nostrum aut distinctio adipisci non eaque porro et molestiae natus.__CR__33 doloremque laudantium ut facere rerum et quod atque.__CR__Qui voluptas eveniet ut voluptatem soluta est officia facere. In optio Quis ut repudiandae repellat vel nemo doloribus.__CR__Cum labore voluptate quo assumenda sit fugiat sequi in exercitationem suscipit sit deleniti reiciendis.__CR____CR__Ut autem exercitationem eos omnis maiores qui excepturi iste et quasi magnam et eveniet illo sit mollitia dolorum.__CR__Qui praesentium magni At enim possimus et ducimus magnam sit tempore esse id omnis natus eum dolore quis? Ad temporibus Quis 33 quia quisquam aut voluptates quis eos voluptatibus odit et facere molestiae id alias cupiditate.__CR__In voluptas reprehenderit est consequatur quibusdam est dicta nulla. Aut nulla laborum et nihil libero sit recusandae saepe.__CR__Et quam repellat et ducimus enim non dolorum quidem qui voluptatem enim aut omnis sint in placeat corporis sit sunt perspiciatis. ;Marcel;Dupont
